GNISIDNAME,COUNT,AREA,PercentArea_Value,MIN_cellsml,MAX_cellsml,RANGE_cellsml,MEAN_cellsml,STD_cellsml,Day,Year,Date,wi_DWSA
Drews Reservoir_01141243,150,13500000,,6310,1202265,1195955,274929,289780,254,2019,9/11/2019,
East Lake_01141624,23,2070000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Foster Lake_01158892,12,1080000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Gerber Reservoir_01121105,116,10440000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Goose Lake_00224325,1547,139230000,,6310,4920397,4914087,928934,746334,254,2019,9/11/2019,
Green Peter Lake_01158878,40,3600000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Hart Lake_01121637,312,28080000,,6310,1629297,1622987,291487,271732,254,2019,9/11/2019,
Henry Hagg Lake_01158095,8,720000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Hills Creek Lake_01158881,52,4680000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Howard Prairie Lake_01158895,60,5400000,,6310,912011,905702,265106,206833,254,2019,9/11/2019,
Lake Abert_01116755,1588,142920000,,6310,1541701,1535392,108904,244567,254,2019,9/11/2019,
Lake Billy Chinook_01138120,117,10530000,,6310,1342766,1336456,655547,456063,254,2019,9/11/2019,
Lake of the Woods_01161601,47,4230000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Lost Creek Lake_01158890,59,5310000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Malheur Lake_01123710,827,74430000,,6310,1202265,1195955,273703,200708,254,2019,9/11/2019,
Odell Lake_01147159,45,4050000,,6310,6310,0,6310,0,97,2017,4/7/2017,
Paulina Lake_01147502,36,3240000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Renner Lake_00267175,20,1800000,,6310,92045,85735,20108,28341,254,2019,9/11/2019,
Summer Lake_01150595,281,25290000,,6310,1976971,1970661,678550,367328,254,2019,9/11/2019,
Summit Lake_01150624,21,1890000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Swamp Lake_01127802,39,3510000,,52966,570164,517198,237190,122416,254,2019,9/11/2019,
Timothy Lake_01151253,27,2430000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Upper Klamath Lake_01151685,2608,234720000,,6310,6137622,6131312,1889782,943119,254,2019,9/11/2019,
Waldo Lake_01151818,244,21960000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Warm Springs Reservoir_01128656,145,13050000,,6310,483059,476750,32762,75402,254,2019,9/11/2019,
Wickiup Reservoir_01161711,85,7650000,,6310,6310,0,6310,0,254,2019,9/11/2019,
Henry Hagg Lake_01158095,16,1440000,,6310,6310,0,6310,0,253,2019,9/10/2019,
Siltcoos Lake_01158483,91,8190000,,6310,794328,788019,519792,148352,253,2019,9/10/2019,
Alkali Lake_01116863,4,360000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Alkali Lake_01116864,21,1890000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Cottage Grove Lake_01158179,3,270000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Crane Prairie Reservoir_01140386,64,5760000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Crater Lake_01163669,101,9090000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Crescent Lake_01158186,106,9540000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Crump Lake_01119601,354,31860000,,6310,539511,533201,15009,44926,251,2019,9/8/2019,
Davis Lake_01140666,26,2340000,,6310,2333460,2327150,609620,913235,251,2019,9/8/2019,
Dorena Lake_01120032,7,630000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Drews Reservoir_01141243,151,13590000,,6310,496592,490283,152441,133428,251,2019,9/8/2019,
Foster Lake_01158892,8,720000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Gerber Reservoir_01121105,18,1620000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Goose Lake_00224325,1516,136440000,,6310,5058250,5051940,845902,844085,251,2019,9/8/2019,
Hart Lake_01121637,296,26640000,,6310,636796,630486,82384,125727,251,2019,9/8/2019,
Lake Abert_01116755,1280,115200000,,6310,2208005,2201696,166465,371984,251,2019,9/8/2019,
Lake of the Woods_01161601,37,3330000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Odell Lake_01147159,3,270000,,6310,6310,0,6310,0,104,2017,4/14/2017,
Renner Lake_00267175,20,1800000,,6310,121339,115029,25670,31012,251,2019,9/8/2019,
Summer Lake_01150595,15,1350000,,444632,862979,418347,688996,150029,251,2019,9/8/2019,
Swamp Lake_01127802,39,3510000,,6310,772681,766371,167761,178865,251,2019,9/8/2019,
Upper Klamath Lake_01151685,1744,156960000,,6310,3250875,3244566,925010,587649,251,2019,9/8/2019,
Wickiup Reservoir_01161711,3,270000,,6310,6310,0,6310,0,251,2019,9/8/2019,
Cold Springs Reservoir_01119125,31,2790000,,6310,1770110,1763800,1320761,304187,250,2019,9/7/2019,
Crane Prairie Reservoir_01140386,97,8730000,,6310,602560,596250,50741,114763,250,2019,9/7/2019,
Gerber Reservoir_01121105,2,180000,,6310,6310,0,6310,0,250,2019,9/7/2019,
Howard Prairie Lake_01158895,6,540000,,6310,636796,630486,426634,297214,250,2019,9/7/2019,
Lake Billy Chinook_01138120,113,10170000,,6310,1674944,1668634,543832,455837,250,2019,9/7/2019,
Summer Lake_01150595,24,2160000,,6310,1137628,1131318,353048,396940,250,2019,9/7/2019,
Upper Klamath Lake_01151685,73,6570000,,9290,1770110,1760820,985553,315913,250,2019,9/7/2019,
Wickiup Reservoir_01161711,53,4770000,,6310,6310,0,6310,0,250,2019,9/7/2019,
Alkali Lake_01116863,24,2160000,,6310,6137622,6131312,2217226,2571579,247,2019,9/4/2019,
Alkali Lake_01116864,12,1080000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Beulah Reservoir_01117569,59,5310000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Cold Springs Reservoir_01119125,29,2610000,,6310,1976971,1970661,1435807,428642,247,2019,9/4/2019,
Crane Prairie Reservoir_01140386,159,14310000,,6310,444632,438322,51793,99842,247,2019,9/4/2019,
Crater Lake_01163669,534,48060000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Crescent Lake_01158186,131,11790000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Crump Lake_01119601,357,32130000,,6310,255859,249549,8452,15380,247,2019,9/4/2019,
Davis Lake_01140666,111,9990000,,6310,2992267,2985957,396543,641519,247,2019,9/4/2019,
Detroit Lake_01639301,26,2340000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Diamond Lake_01140999,121,10890000,,6310,387258,380948,55410,86994,247,2019,9/4/2019,
Drews Reservoir_01141243,152,13680000,,6310,1584894,1578585,688447,395090,247,2019,9/4/2019,
East Lake_01141624,27,2430000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Gerber Reservoir_01121105,109,9810000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Goose Lake_00224325,2141,192690000,,6310,4920397,4914087,749505,666464,247,2019,9/4/2019,
Green Peter Lake_01158878,44,3960000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Hart Lake_01121637,302,27180000,,6310,1584894,1578585,144908,224256,247,2019,9/4/2019,
Henry Hagg Lake_01158095,29,2610000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Hills Creek Lake_01158881,26,2340000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Howard Prairie Lake_01158895,56,5040000,,6310,1870684,1864374,604923,469921,247,2019,9/4/2019,
Lake Abert_01116755,1458,131220000,,6310,1499685,1493376,74716,230780,247,2019,9/4/2019,
Lake Billy Chinook_01138120,115,10350000,,6310,1721870,1715560,615026,563746,247,2019,9/4/2019,
Lake of the Woods_01161601,5,450000,,6310,6310,0,6310,0,247,2019,9/4/2019,
Lost Creek Lake_01158890,85,7650000,,6310,6310,0,6310,0,247,2019,9/4/2019,
