GNISIDNAME,COUNT,AREA,PercentArea_Value,MIN_cellsml,MAX_cellsml,RANGE_cellsml,MEAN_cellsml,STD_cellsml,Day,Year,Date,wi_DWSA
Upper Klamath Lake_01151685,2427,218430000,,6310,5345646,5339336,2080326,791598,197,2020,7/15/2020,#N/A
Sturgeon Lake_01127681,119,10710000,,6310,2679170,2672860,711144,566824,197,2020,7/15/2020,Yes
Davis Lake_01140666,117,10530000,,6310,2831393,2825083,663620,804911,197,2020,7/15/2020,#N/A
Lake Billy Chinook_01138120,110,9900000,,6310,554626,548316,153823,169794,197,2020,7/15/2020,#N/A
Howard Prairie Lake_01158895,45,4050000,,6310,619442,613132,62536,141375,197,2020,7/15/2020,#N/A
Odell Lake_01147159,113,10170000,,6310,169044,162735,53511,40516,197,2020,7/15/2020,#N/A
Fern Ridge Lake_01120678,260,23400000,,6310,356451,350142,9311,30362,197,2020,7/15/2020,Yes
Crescent Lake_01158186,150,13500000,,6310,54450,48141,6631,3918,197,2020,7/15/2020,#N/A
Waldo Lake_01151818,221,19890000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Wickiup Reservoir_01161711,115,10350000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Paulina Lake_01147502,48,4320000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Crane Prairie Reservoir_01140386,153,13770000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Cottage Grove Lake_01158179,25,2250000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Dorena Lake_01120032,45,4050000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Hills Creek Lake_01158881,64,5760000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Summit Lake_01150624,22,1980000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Lost Creek Lake_01158890,98,8820000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Foster Lake_01158892,26,2340000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Lake of the Woods_01161601,43,3870000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Diamond Lake_01140999,127,11430000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Henry Hagg Lake_01158095,33,2970000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Green Peter Lake_01158878,89,8010000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Detroit Lake_01639301,64,5760000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Siltcoos Lake_01158483,101,9090000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Timothy Lake_01151253,52,4680000,,6310,6310,0,6310,0,197,2020,7/15/2020,Yes
Crater Lake_01163669,533,47970000,,6310,6310,0,6310,0,197,2020,7/15/2020,#N/A
Alkali Lake_01116863,12,1080000,,3630782,6668069,3037287,4896695,670636,194,2020,7/12/2020,#N/A
Upper Klamath Lake_01151685,2597,233730000,,6310,6854886,6848576,2236915,1397981,194,2020,7/12/2020,#N/A
Summer Lake_01150595,403,36270000,,6310,2535130,2528821,630522,514371,194,2020,7/12/2020,#N/A
Goose Lake_00224325,2721,244890000,,6310,5058250,5051940,446161,790952,194,2020,7/12/2020,#N/A
Malheur Lake_01123710,925,83250000,,6310,1306171,1299862,236421,152275,194,2020,7/12/2020,#N/A
Davis Lake_01140666,112,10080000,,6310,2398834,2392524,231941,523235,194,2020,7/12/2020,#N/A
Beulah Reservoir_01117569,65,5850000,,6310,1976971,1970661,168991,394074,194,2020,7/12/2020,#N/A
Renner Lake_00267175,18,1620000,,6310,444632,438322,125988,156318,194,2020,7/12/2020,#N/A
Lake Abert_01116755,1203,108270000,,6310,963829,957520,83659,185666,194,2020,7/12/2020,#N/A
Hart Lake_01121637,298,26820000,,6310,432514,426204,59312,105358,194,2020,7/12/2020,#N/A
Howard Prairie Lake_01158895,39,3510000,,6310,483059,476750,24466,81176,194,2020,7/12/2020,#N/A
Drews Reservoir_01141243,144,12960000,,6310,270396,264086,10696,25613,194,2020,7/12/2020,#N/A
Swamp Lake_01127802,36,3240000,,6310,71779,65470,10464,13280,194,2020,7/12/2020,#N/A
Crump Lake_01119601,361,32490000,,6310,183654,177344,8513,13723,194,2020,7/12/2020,#N/A
Warm Springs Reservoir_01128656,144,12960000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
Waldo Lake_01151818,76,6840000,,6310,6310,0,6310,0,194,2020,7/12/2020,Yes
Crescent Lake_01158186,93,8370000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
Wickiup Reservoir_01161711,101,9090000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
Paulina Lake_01147502,40,3600000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
Odell Lake_01147159,46,4140000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
Crane Prairie Reservoir_01140386,20,1800000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
East Lake_01141624,35,3150000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
Hills Creek Lake_01158881,8,720000,,6310,6310,0,6310,0,194,2020,7/12/2020,Yes
Summit Lake_01150624,13,1170000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
Lost Creek Lake_01158890,86,7740000,,6310,6310,0,6310,0,194,2020,7/12/2020,Yes
Lake of the Woods_01161601,29,2610000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
Diamond Lake_01140999,108,9720000,,6310,6310,0,6310,0,194,2020,7/12/2020,Yes
Henry Hagg Lake_01158095,12,1080000,,6310,6310,0,6310,0,194,2020,7/12/2020,Yes
Gerber Reservoir_01121105,128,11520000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
Crater Lake_01163669,527,47430000,,6310,6310,0,6310,0,194,2020,7/12/2020,#N/A
Sturgeon Lake_01127681,41,3690000,,6310,2032359,2026049,774362,754162,193,2020,7/11/2020,Yes
Fern Ridge Lake_01120678,261,23490000,,6310,13677,7368,6356,537,193,2020,7/11/2020,Yes
Cottage Grove Lake_01158179,23,2070000,,6310,6310,0,6310,0,193,2020,7/11/2020,Yes
Dorena Lake_01120032,43,3870000,,6310,6310,0,6310,0,193,2020,7/11/2020,Yes
Hills Creek Lake_01158881,64,5760000,,6310,6310,0,6310,0,193,2020,7/11/2020,Yes
Lost Creek Lake_01158890,90,8100000,,6310,6310,0,6310,0,193,2020,7/11/2020,Yes
Foster Lake_01158892,28,2520000,,6310,6310,0,6310,0,193,2020,7/11/2020,Yes
Henry Hagg Lake_01158095,23,2070000,,6310,6310,0,6310,0,193,2020,7/11/2020,Yes
Green Peter Lake_01158878,74,6660000,,6310,6310,0,6310,0,193,2020,7/11/2020,Yes
Detroit Lake_01639301,58,5220000,,6310,6310,0,6310,0,193,2020,7/11/2020,Yes
Timothy Lake_01151253,52,4680000,,6310,6310,0,6310,0,193,2020,7/11/2020,Yes
Alkali Lake_01116863,13,1170000,,3837074,5345646,1508572,4397910,439915,191,2020,7/9/2020,#N/A
Cold Springs Reservoir_01119125,31,2790000,,285759,1584894,1299135,993736,319460,191,2020,7/9/2020,Yes
Summer Lake_01150595,480,43200000,,6310,2208005,2201696,989188,454269,191,2020,7/9/2020,#N/A
Goose Lake_00224325,2833,254970000,,6310,4920397,4914087,547015,761105,191,2020,7/9/2020,#N/A
Gerber Reservoir_01121105,119,10710000,,6310,751623,745314,342324,205717,191,2020,7/9/2020,#N/A
Malheur Lake_01123710,920,82800000,,6310,1169500,1163191,258166,182380,191,2020,7/9/2020,#N/A
Beulah Reservoir_01117569,64,5760000,,6310,1202265,1195955,124049,228533,191,2020,7/9/2020,#N/A
Lake Abert_01116755,1181,106290000,,6310,1047129,1040819,105382,226843,191,2020,7/9/2020,#N/A
Renner Lake_00267175,14,1260000,,6310,131826,125516,52867,50914,191,2020,7/9/2020,#N/A
Swamp Lake_01127802,36,3240000,,6310,570164,563855,37080,97562,191,2020,7/9/2020,#N/A
Hart Lake_01121637,285,25650000,,6310,248886,242576,20640,43392,191,2020,7/9/2020,#N/A
Drews Reservoir_01141243,140,12600000,,6310,139316,133006,10990,21045,191,2020,7/9/2020,#N/A
Crump Lake_01119601,350,31500000,,6310,188799,182490,8776,15931,191,2020,7/9/2020,#N/A
Warm Springs Reservoir_01128656,140,12600000,,6310,6310,0,6310,0,191,2020,7/9/2020,#N/A
Paulina Lake_01147502,14,1260000,,6310,6310,0,6310,0,191,2020,7/9/2020,#N/A
East Lake_01141624,16,1440000,,6310,6310,0,6310,0,191,2020,7/9/2020,#N/A
Alkali Lake_01116863,19,1710000,,3435582,6309577,2873995,4548625,842191,190,2020,7/8/2020,#N/A
Upper Klamath Lake_01151685,2619,235710000,,6310,6137622,6131312,2662047,988085,190,2020,7/8/2020,#N/A
Cold Springs Reservoir_01119125,32,2880000,,432514,1674944,1242430,839810,320709,190,2020,7/8/2020,Yes
Summer Lake_01150595,633,56970000,,6310,2147832,2141522,839769,472458,190,2020,7/8/2020,#N/A
Howard Prairie Lake_01158895,46,4140000,,6310,1169500,1163191,623877,367191,190,2020,7/8/2020,#N/A
Goose Lake_00224325,2978,268020000,,6310,4655864,4649554,517779,607156,190,2020,7/8/2020,#N/A
Gerber Reservoir_01121105,130,11700000,,6310,731140,724830,294331,151216,190,2020,7/8/2020,#N/A
Malheur Lake_01123710,869,78210000,,6310,1018592,1012282,274480,133853,190,2020,7/8/2020,#N/A
Davis Lake_01140666,120,10800000,,6310,2606154,2599845,159775,497833,190,2020,7/8/2020,#N/A
Beulah Reservoir_01117569,65,5850000,,6310,751623,745314,121826,176720,190,2020,7/8/2020,#N/A
Renner Lake_00267175,18,1620000,,6310,398108,391798,117752,110112,190,2020,7/8/2020,#N/A
Lake Abert_01116755,1219,109710000,,6310,1137628,1131318,111618,222527,190,2020,7/8/2020,#N/A
Lake Billy Chinook_01138120,113,10170000,,6310,398108,391798,68306,103560,190,2020,7/8/2020,#N/A
Swamp Lake_01127802,34,3060000,,6310,151356,145047,56796,48166,190,2020,7/8/2020,#N/A
Hart Lake_01121637,298,26820000,,6310,337288,330978,34840,63901,190,2020,7/8/2020,#N/A
Drews Reservoir_01141243,147,13230000,,6310,301995,295686,14322,35591,190,2020,7/8/2020,#N/A
Wickiup Reservoir_01161711,133,11970000,,6310,293765,287455,13613,36528,190,2020,7/8/2020,#N/A
Crump Lake_01119601,358,32220000,,6310,164437,158128,9563,15007,190,2020,7/8/2020,#N/A
Warm Springs Reservoir_01128656,141,12690000,,6310,6310,0,6310,0,190,2020,7/8/2020,#N/A
Waldo Lake_01151818,214,19260000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Fern Ridge Lake_01120678,233,20970000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Crescent Lake_01158186,146,13140000,,6310,6310,0,6310,0,190,2020,7/8/2020,#N/A
Paulina Lake_01147502,43,3870000,,6310,6310,0,6310,0,190,2020,7/8/2020,#N/A
Odell Lake_01147159,117,10530000,,6310,6310,0,6310,0,190,2020,7/8/2020,#N/A
Crane Prairie Reservoir_01140386,131,11790000,,6310,6310,0,6310,0,190,2020,7/8/2020,#N/A
East Lake_01141624,41,3690000,,6310,6310,0,6310,0,190,2020,7/8/2020,#N/A
Cottage Grove Lake_01158179,7,630000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Dorena Lake_01120032,35,3150000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Hills Creek Lake_01158881,26,2340000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Summit Lake_01150624,16,1440000,,6310,6310,0,6310,0,190,2020,7/8/2020,#N/A
Lost Creek Lake_01158890,92,8280000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Foster Lake_01158892,4,360000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Lake of the Woods_01161601,40,3600000,,6310,6310,0,6310,0,190,2020,7/8/2020,#N/A
Diamond Lake_01140999,118,10620000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Henry Hagg Lake_01158095,17,1530000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Aspen Lake_01161255,6,540000,,6310,6310,0,6310,0,190,2020,7/8/2020,#N/A
Green Peter Lake_01158878,45,4050000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Detroit Lake_01639301,32,2880000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Siltcoos Lake_01158483,60,5400000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Timothy Lake_01151253,22,1980000,,6310,6310,0,6310,0,190,2020,7/8/2020,Yes
Crater Lake_01163669,548,49320000,,6310,6310,0,6310,0,190,2020,7/8/2020,#N/A
Fern Ridge Lake_01120678,123,11070000,,6310,6310,0,6310,0,189,2020,7/7/2020,Yes
Alkali Lake_01116863,23,2070000,,2831393,6486349,3654956,4305863,1018496,187,2020,7/5/2020,#N/A
Upper Klamath Lake_01151685,2576,231840000,,6310,6854886,6848576,2652222,1078797,187,2020,7/5/2020,#N/A
Howard Prairie Lake_01158895,46,4140000,,6310,2831393,2825083,1383599,666479,187,2020,7/5/2020,#N/A
Summer Lake_01150595,697,62730000,,6310,2269866,2263556,964001,429687,187,2020,7/5/2020,#N/A
Cold Springs Reservoir_01119125,31,2790000,,636796,1342766,705970,924423,215552,187,2020,7/5/2020,Yes
Gerber Reservoir_01121105,124,11160000,,6310,1018592,1012282,672137,175775,187,2020,7/5/2020,#N/A
Beulah Reservoir_01117569,66,5940000,,6310,1674944,1668634,477690,520125,187,2020,7/5/2020,#N/A
Goose Lake_00224325,2839,255510000,,6310,4168695,4162385,467486,638185,187,2020,7/5/2020,#N/A
Malheur Lake_01123710,925,83250000,,6310,1047129,1040819,276828,160533,187,2020,7/5/2020,#N/A
Davis Lake_01140666,111,9990000,,6310,2398834,2392524,110107,406114,187,2020,7/5/2020,#N/A
Lake Billy Chinook_01138120,93,8370000,,6310,432514,426204,105778,120800,187,2020,7/5/2020,#N/A
Lake Abert_01116755,1240,111600000,,6310,1137628,1131318,105176,223513,187,2020,7/5/2020,#N/A
Drews Reservoir_01141243,145,13050000,,6310,337288,330978,48909,75762,187,2020,7/5/2020,#N/A
Wickiup Reservoir_01161711,80,7200000,,6310,346737,340427,44320,89423,187,2020,7/5/2020,#N/A
Swamp Lake_01127802,35,3150000,,6310,319154,312844,41436,74005,187,2020,7/5/2020,#N/A
Renner Lake_00267175,16,1440000,,6310,92045,85735,32195,30352,187,2020,7/5/2020,#N/A
Hart Lake_01121637,291,26190000,,6310,270396,264086,22653,43466,187,2020,7/5/2020,#N/A
Crump Lake_01119601,357,32130000,,6310,366438,360128,7454,19102,187,2020,7/5/2020,#N/A
Aspen Lake_01161255,3,270000,,6310,6310,0,6310,0,187,2020,7/5/2020,#N/A
Crane Prairie Reservoir_01140386,95,8550000,,6310,6310,0,6310,0,187,2020,7/5/2020,#N/A
Crater Lake_01163669,517,46530000,,6310,6310,0,6310,0,187,2020,7/5/2020,#N/A
Crescent Lake_01158186,130,11700000,,6310,6310,0,6310,0,187,2020,7/5/2020,#N/A
Diamond Lake_01140999,60,5400000,,6310,6310,0,6310,0,187,2020,7/5/2020,Yes
East Lake_01141624,24,2160000,,6310,6310,0,6310,0,187,2020,7/5/2020,#N/A
Lake of the Woods_01161601,9,810000,,6310,6310,0,6310,0,187,2020,7/5/2020,#N/A
Odell Lake_01147159,118,10620000,,6310,6310,0,6310,0,187,2020,7/5/2020,#N/A
Paulina Lake_01147502,9,810000,,6310,6310,0,6310,0,187,2020,7/5/2020,#N/A
Summit Lake_01150624,11,990000,,6310,6310,0,6310,0,187,2020,7/5/2020,#N/A
Timothy Lake_01151253,35,3150000,,6310,6310,0,6310,0,187,2020,7/5/2020,Yes
Waldo Lake_01151818,170,15300000,,6310,6310,0,6310,0,187,2020,7/5/2020,Yes
Warm Springs Reservoir_01128656,141,12690000,,6310,6310,0,6310,0,187,2020,7/5/2020,#N/A
Alkali Lake_01116863,25,2250000,,2679170,6668069,3988900,4413565,1290877,186,2020,7/4/2020,#N/A
Upper Klamath Lake_01151685,2613,235170000,,6310,6137622,6131312,2673689,1071003,186,2020,7/4/2020,#N/A
Summer Lake_01150595,753,67770000,,6310,2269866,2263556,975179,442350,186,2020,7/4/2020,#N/A
Cold Springs Reservoir_01119125,31,2790000,,356451,1137628,781177,754194,210868,186,2020,7/4/2020,Yes
Howard Prairie Lake_01158895,54,4860000,,6310,1674944,1668634,678183,476867,186,2020,7/4/2020,#N/A
Goose Lake_00224325,915,82350000,,6310,4285487,4279177,610197,958691,186,2020,7/4/2020,#N/A
Gerber Reservoir_01121105,131,11790000,,6310,963829,957520,575905,152312,186,2020,7/4/2020,#N/A
Beulah Reservoir_01117569,65,5850000,,6310,2398834,2392524,518422,620220,186,2020,7/4/2020,#N/A
Malheur Lake_01123710,814,73260000,,6310,839460,833151,247105,145272,186,2020,7/4/2020,#N/A
Davis Lake_01140666,121,10890000,,6310,2466041,2459731,230026,550166,186,2020,7/4/2020,#N/A
Lake Abert_01116755,1246,112140000,,6310,937562,931253,77210,178089,186,2020,7/4/2020,#N/A
Lake Billy Chinook_01138120,129,11610000,,6310,310456,304146,64479,82896,186,2020,7/4/2020,#N/A
Renner Lake_00267175,18,1620000,,6310,205116,198807,53903,68894,186,2020,7/4/2020,#N/A
Drews Reservoir_01141243,140,12600000,,6310,510505,504196,36376,75024,186,2020,7/4/2020,#N/A
Wickiup Reservoir_01161711,139,12510000,,6310,263027,256717,12290,33169,186,2020,7/4/2020,#N/A
Hart Lake_01121637,216,19440000,,6310,173780,167471,9964,22914,186,2020,7/4/2020,#N/A
Crater Lake_01163669,570,51300000,,6310,135519,129209,7199,9774,186,2020,7/4/2020,#N/A
Crump Lake_01119601,289,26010000,,6310,84723,78413,7197,7217,186,2020,7/4/2020,#N/A
Aspen Lake_01161255,9,810000,,6310,6310,0,6310,0,186,2020,7/4/2020,#N/A
Crane Prairie Reservoir_01140386,140,12600000,,6310,6310,0,6310,0,186,2020,7/4/2020,#N/A
Crescent Lake_01158186,153,13770000,,6310,6310,0,6310,0,186,2020,7/4/2020,#N/A
Detroit Lake_01639301,58,5220000,,6310,6310,0,6310,0,186,2020,7/4/2020,Yes
Diamond Lake_01140999,127,11430000,,6310,6310,0,6310,0,186,2020,7/4/2020,Yes
East Lake_01141624,41,3690000,,6310,6310,0,6310,0,186,2020,7/4/2020,#N/A
Fern Ridge Lake_01120678,14,1260000,,6310,6310,0,6310,0,186,2020,7/4/2020,Yes
Foster Lake_01158892,16,1440000,,6310,6310,0,6310,0,186,2020,7/4/2020,Yes
Green Peter Lake_01158878,57,5130000,,6310,6310,0,6310,0,186,2020,7/4/2020,Yes
Hills Creek Lake_01158881,53,4770000,,6310,6310,0,6310,0,186,2020,7/4/2020,Yes
Lake of the Woods_01161601,48,4320000,,6310,6310,0,6310,0,186,2020,7/4/2020,#N/A
Lost Creek Lake_01158890,95,8550000,,6310,6310,0,6310,0,186,2020,7/4/2020,Yes
Odell Lake_01147159,132,11880000,,6310,6310,0,6310,0,186,2020,7/4/2020,#N/A
Paulina Lake_01147502,48,4320000,,6310,6310,0,6310,0,186,2020,7/4/2020,#N/A
Summit Lake_01150624,20,1800000,,6310,6310,0,6310,0,186,2020,7/4/2020,#N/A
Swamp Lake_01127802,26,2340000,,6310,6310,0,6310,0,186,2020,7/4/2020,#N/A
Timothy Lake_01151253,43,3870000,,6310,6310,0,6310,0,186,2020,7/4/2020,Yes
Waldo Lake_01151818,241,21690000,,6310,6310,0,6310,0,186,2020,7/4/2020,Yes
Warm Springs Reservoir_01128656,141,12690000,,6310,6310,0,6310,0,186,2020,7/4/2020,#N/A
Siltcoos Lake_01158483,8,720000,,6310,6310,0,6310,0,185,2020,7/3/2020,Yes
Alkali Lake_01116863,24,2160000,,2754231,6668069,3913839,4146735,1111160,183,2020,7/1/2020,#N/A
Upper Klamath Lake_01151685,2582,232380000,,6310,5495412,5489102,2323716,786797,183,2020,7/1/2020,#N/A
Summer Lake_01150595,819,73710000,,6310,2606154,2599845,965666,482075,183,2020,7/1/2020,#N/A
Howard Prairie Lake_01158895,46,4140000,,6310,1819702,1813392,684880,635367,183,2020,7/1/2020,#N/A
Gerber Reservoir_01121105,126,11340000,,6310,1076466,1070156,661614,223402,183,2020,7/1/2020,#N/A
Goose Lake_00224325,2885,259650000,,6310,5058250,5051940,608619,519960,183,2020,7/1/2020,#N/A
Beulah Reservoir_01117569,64,5760000,,6310,1870684,1864374,366732,414941,183,2020,7/1/2020,#N/A
Davis Lake_01140666,83,7470000,,6310,2147832,2141522,366074,694763,183,2020,7/1/2020,#N/A
Malheur Lake_01123710,915,82350000,,6310,937562,931253,320800,145853,183,2020,7/1/2020,#N/A
Lake Billy Chinook_01138120,113,10170000,,6310,711214,704904,300029,243671,183,2020,7/1/2020,#N/A
Lake Abert_01116755,1278,115020000,,6310,1306171,1299862,124627,258048,183,2020,7/1/2020,#N/A
Drews Reservoir_01141243,145,13050000,,6310,862979,856669,94851,146247,183,2020,7/1/2020,#N/A
Wickiup Reservoir_01161711,119,10710000,,6310,731140,724830,39994,123392,183,2020,7/1/2020,#N/A
Hart Lake_01121637,295,26550000,,6310,469894,463585,39834,81040,183,2020,7/1/2020,#N/A
Swamp Lake_01127802,37,3330000,,6310,183654,177344,22553,40458,183,2020,7/1/2020,#N/A
Crump Lake_01119601,359,32310000,,6310,346737,340427,13502,30648,183,2020,7/1/2020,#N/A
Crescent Lake_01158186,134,12060000,,6310,173780,167471,11006,24925,183,2020,7/1/2020,#N/A
Renner Lake_00267175,18,1620000,,6310,54450,48141,10154,11240,183,2020,7/1/2020,#N/A
Crater Lake_01163669,477,42930000,,6310,277971,271662,8249,21432,183,2020,7/1/2020,#N/A
Aspen Lake_01161255,2,180000,,6310,6310,0,6310,0,183,2020,7/1/2020,#N/A
Crane Prairie Reservoir_01140386,116,10440000,,6310,6310,0,6310,0,183,2020,7/1/2020,#N/A
Diamond Lake_01140999,40,3600000,,6310,6310,0,6310,0,183,2020,7/1/2020,Yes
East Lake_01141624,33,2970000,,6310,6310,0,6310,0,183,2020,7/1/2020,#N/A
Hills Creek Lake_01158881,10,900000,,6310,6310,0,6310,0,183,2020,7/1/2020,Yes
Lake of the Woods_01161601,6,540000,,6310,6310,0,6310,0,183,2020,7/1/2020,#N/A
Lost Creek Lake_01158890,53,4770000,,6310,6310,0,6310,0,183,2020,7/1/2020,Yes
Odell Lake_01147159,113,10170000,,6310,6310,0,6310,0,183,2020,7/1/2020,#N/A
Paulina Lake_01147502,18,1620000,,6310,6310,0,6310,0,183,2020,7/1/2020,#N/A
Summit Lake_01150624,7,630000,,6310,6310,0,6310,0,183,2020,7/1/2020,#N/A
Waldo Lake_01151818,152,13680000,,6310,6310,0,6310,0,183,2020,7/1/2020,Yes
Warm Springs Reservoir_01128656,142,12780000,,6310,6310,0,6310,0,183,2020,7/1/2020,#N/A
Alkali Lake_01116863,28,2520000,,46132,6137622,6091490,3265592,1610147,182,2020,6/30/2020,#N/A
Upper Klamath Lake_01151685,2610,234900000,,6310,4055088,4048778,1850558,496337,182,2020,6/30/2020,#N/A
Summer Lake_01150595,824,74160000,,6310,2208005,2201696,889652,551760,182,2020,6/30/2020,#N/A
Goose Lake_00224325,909,81810000,,6310,4405552,4399242,741572,717767,182,2020,6/30/2020,#N/A
Gerber Reservoir_01121105,127,11430000,,6310,772681,766371,402662,175918,182,2020,6/30/2020,#N/A
Lake Billy Chinook_01138120,60,5400000,,6310,839460,833151,260094,339860,182,2020,6/30/2020,#N/A
Cold Springs Reservoir_01119125,31,2790000,,23121,772681,749560,253267,188142,182,2020,6/30/2020,Yes
Malheur Lake_01123710,116,10440000,,6310,376704,370394,153126,85720,182,2020,6/30/2020,#N/A
Howard Prairie Lake_01158895,15,1350000,,6310,510505,504196,91209,172775,182,2020,6/30/2020,#N/A
Drews Reservoir_01141243,55,4950000,,6310,432514,426204,66527,118159,182,2020,6/30/2020,#N/A
Wickiup Reservoir_01161711,108,9720000,,6310,691831,685522,56898,144956,182,2020,6/30/2020,#N/A
Davis Lake_01140666,74,6660000,,6310,912011,905702,51479,142610,182,2020,6/30/2020,#N/A
Lake Abert_01116755,1318,118620000,,6310,794328,788019,45744,127994,182,2020,6/30/2020,#N/A
Hart Lake_01121637,182,16380000,,6310,510505,504196,37102,102718,182,2020,6/30/2020,#N/A
Swamp Lake_01127802,19,1710000,,6310,194089,187779,19580,43006,182,2020,6/30/2020,#N/A
Crump Lake_01119601,211,18990000,,6310,210863,204553,8878,19471,182,2020,6/30/2020,#N/A
Alkali Lake_01116864,6,540000,,6310,6310,0,6310,0,182,2020,6/30/2020,#N/A
Crane Prairie Reservoir_01140386,97,8730000,,6310,6310,0,6310,0,182,2020,6/30/2020,#N/A
Crater Lake_01163669,566,50940000,,6310,6310,0,6310,0,182,2020,6/30/2020,#N/A
Crescent Lake_01158186,120,10800000,,6310,6310,0,6310,0,182,2020,6/30/2020,#N/A
Diamond Lake_01140999,114,10260000,,6310,6310,0,6310,0,182,2020,6/30/2020,Yes
East Lake_01141624,36,3240000,,6310,6310,0,6310,0,182,2020,6/30/2020,#N/A
Fern Ridge Lake_01120678,107,9630000,,6310,6310,0,6310,0,182,2020,6/30/2020,Yes
Foster Lake_01158892,11,990000,,6310,6310,0,6310,0,182,2020,6/30/2020,Yes
Green Peter Lake_01158878,4,360000,,6310,6310,0,6310,0,182,2020,6/30/2020,Yes
Hills Creek Lake_01158881,5,450000,,6310,6310,0,6310,0,182,2020,6/30/2020,Yes
Lake of the Woods_01161601,42,3780000,,6310,6310,0,6310,0,182,2020,6/30/2020,#N/A
Lost Creek Lake_01158890,30,2700000,,6310,6310,0,6310,0,182,2020,6/30/2020,Yes
Odell Lake_01147159,105,9450000,,6310,6310,0,6310,0,182,2020,6/30/2020,#N/A
Paulina Lake_01147502,32,2880000,,6310,6310,0,6310,0,182,2020,6/30/2020,#N/A
Summit Lake_01150624,13,1170000,,6310,6310,0,6310,0,182,2020,6/30/2020,#N/A
Waldo Lake_01151818,56,5040000,,6310,6310,0,6310,0,182,2020,6/30/2020,Yes
Alkali Lake_01116863,20,1800000,,1018592,2992267,1973675,2241818,445235,179,2020,6/27/2020,#N/A
Upper Klamath Lake_01151685,2595,233550000,,6310,4055088,4048778,1577324,690598,179,2020,6/27/2020,#N/A
Lake Billy Chinook_01138120,116,10440000,,6310,1870684,1864374,1243428,346524,179,2020,6/27/2020,#N/A
Summer Lake_01150595,704,63360000,,6310,2208005,2201696,906042,578895,179,2020,6/27/2020,#N/A
Howard Prairie Lake_01158895,49,4410000,,6310,1819702,1813392,865102,566023,179,2020,6/27/2020,#N/A
Gerber Reservoir_01121105,124,11160000,,6310,1629297,1622987,826281,386975,179,2020,6/27/2020,#N/A
Beulah Reservoir_01117569,45,4050000,,69823,1306171,1236348,529155,319605,179,2020,6/27/2020,#N/A
Timothy Lake_01151253,53,4770000,,6310,2089297,2082987,452704,434197,179,2020,6/27/2020,Yes
Goose Lake_00224325,3050,274500000,,6310,5649374,5643064,440082,609410,179,2020,6/27/2020,#N/A
Cold Springs Reservoir_01119125,25,2250000,,6310,636796,630486,221836,189181,179,2020,6/27/2020,Yes
Davis Lake_01140666,114,10260000,,6310,1923093,1916783,193777,479995,179,2020,6/27/2020,#N/A
Malheur Lake_01123710,933,83970000,,6310,1458815,1452506,133138,141736,179,2020,6/27/2020,#N/A
Crane Prairie Reservoir_01140386,90,8100000,,6310,1380385,1374075,122371,269763,179,2020,6/27/2020,#N/A
Renner Lake_00267175,20,1800000,,6310,248886,242576,37907,69130,179,2020,6/27/2020,#N/A
